Alter,M,W
unter 1 Jahr,367563,348856
1-Jaehrige,357015,338900
2-Jaehrige,356316,338053
3-Jaehrige,349198,331911
4-Jaehrige,357848,340751
5-Jaehrige,353123,334728
6-Jaehrige,361899,344281
7-Jaehrige,361652,342682
8-Jaehrige,355412,336078
9-Jaehrige,359878,341745
10-Jaehrige,369406,350616
11-Jaehrige,369612,350910
12-Jaehrige,376432,356637
13-Jaehrige,385989,364876
14-Jaehrige,402305,382051
15-Jaehrige,404519,382142
16-Jaehrige,414362,391637
17-Jaehrige,428231,404406
18-Jaehrige,426521,399698
19-Jaehrige,421020,394252
20-Jaehrige,432716,406457
21-Jaehrige,450035,424922
22-Jaehrige,459824,436098
23-Jaehrige,481990,456828
24-Jaehrige,533339,504119
25-Jaehrige,528866,501825
26-Jaehrige,546727,515448
27-Jaehrige,537339,507022
28-Jaehrige,528076,502548
29-Jaehrige,511013,487962
30-Jaehrige,509925,487995
31-Jaehrige,510873,492174
32-Jaehrige,522297,505038
33-Jaehrige,516101,505079
34-Jaehrige,516859,507740
35-Jaehrige,492886,484850
36-Jaehrige,487057,478458
37-Jaehrige,483642,474312
38-Jaehrige,473637,467299
39-Jaehrige,462223,454252
40-Jaehrige,467677,462502
41-Jaehrige,471883,467300
42-Jaehrige,514066,506780
43-Jaehrige,567973,557547
44-Jaehrige,589545,579006
45-Jaehrige,636515,620979
46-Jaehrige,667294,650747
47-Jaehrige,685436,669462
48-Jaehrige,705545,687907
49-Jaehrige,709406,689133
50-Jaehrige,721521,703668
51-Jaehrige,714491,698833
52-Jaehrige,689365,678727
53-Jaehrige,676981,671413
54-Jaehrige,652446,649207
55-Jaehrige,633996,631628
56-Jaehrige,597118,596851
57-Jaehrige,581600,584477
58-Jaehrige,562594,569613
59-Jaehrige,540425,554830
60-Jaehrige,524440,548380
61-Jaehrige,503398,532319
62-Jaehrige,500343,531306
63-Jaehrige,488275,519980
64-Jaehrige,485673,518863
65-Jaehrige,468215,499605
66-Jaehrige,426282,454034
67-Jaehrige,395698,427281
68-Jaehrige,341543,372468
69-Jaehrige,294231,329537
70-Jaehrige,390745,437094
71-Jaehrige,392647,441561
72-Jaehrige,375001,426336
73-Jaehrige,444900,518233
74-Jaehrige,456567,543130
75-Jaehrige,436973,531233
76-Jaehrige,394993,487891
77-Jaehrige,354121,449056
78-Jaehrige,326505,427041
79-Jaehrige,298913,402579
80-Jaehrige,260419,362291
81-Jaehrige,194658,281809
82-Jaehrige,178403,270703
83-Jaehrige,165283,263433
84-Jaehrige,156351,263352
85 Jahre und mehr,631277,1516319
